title,action_type,article:published_time,eli5,og:url,keywords,citations
"Restoring The Death Penalty And Protecting Public Safety – The White House
",Executive Order,2025-01-21T01:40:49+00:00,"The President signed a paper saying that when someone commits a very terrible crime, the government should be allowed to use the death penalty as punishment. The order tries to make it easier for both the federal government and states to use this punishment.",https://www.whitehouse.gov/presidential-actions/2025/01/restoring-the-death-penalty-and-protecting-public-safety/,"['death penalty', 'capital punishment', 'criminal justice', 'law enforcement', 'public safety', 'immigration', 'federal executions', 'state rights', 'lethal injection', 'sentencing']","['28 U.S.C. 2265', 'Constitution of the United States', 'Justice Manual']"
"Promoting Beautiful Federal Civic Architecture – The White House
",Presidential Memorandum,2025-01-21T01:41:34+00:00,"The President wants government buildings to look nice and special, like important buildings from history. He's asking people to make rules about how to design new government buildings so they look more beautiful and make people proud of their country.",https://www.whitehouse.gov/presidential-actions/2025/01/promoting-beautiful-federal-civic-architecture/,"['architecture', 'civic buildings', 'classical design', 'federal buildings', 'GSA', 'public spaces', 'traditional design', 'urban planning', 'architectural heritage', 'government facilities']",['Guiding Principles for Federal Architecture']
"Organization of the National Security Council and Subcommittees – The White House
",National Security Presidential Memorandum,2025-01-21T01:43:34+00:00,This document explains how the President organizes his team of advisors who help keep America safe. It's like creating a special group of experts who meet regularly to discuss important safety issues and make plans to protect the country.,https://www.whitehouse.gov/presidential-actions/2025/01/organization-of-the-national-security-council-and-subcommittees/,"['National Security Council', 'Homeland Security', 'Presidential Administration', 'Executive Organization', 'Federal Government', 'National Defense', 'Policy Coordination', 'Security Advisory', 'Interagency Cooperation', 'Executive Branch']","['National Security Act of 1947 (50 U.S.C. 3021)', 'Homeland Security Act of 2002 (6 U.S.C. 495)', 'Presidential Records Act of 1978', 'Reorganization Plan No. 1 of 1977', 'National Security Memorandum-2 (NSM-2)', '50 U.S.C. 3002', '50 U.S.C. 3021(b)(1)']"
"Restoring Names That Honor American Greatness – The White House
",Executive Order,2025-01-21T02:20:22+00:00,This is a rule that changes the names of some important places in America. It changes a mountain's name back to Mount McKinley and renames the Gulf of Mexico to the Gulf of America because the president wants these places to have names that honor American history.,https://www.whitehouse.gov/presidential-actions/2025/01/restoring-names-that-honor-american-greatness/,"['Geographic Names', 'Mount McKinley', 'Denali', 'Gulf of Mexico', 'Presidential Recognition', 'Native American Affairs', 'Historical Preservation', 'National Identity', 'Federal Nomenclature', 'Territorial Naming']","['43 U.S.C. 364a', '43 U.S.C. 364 through 364f', 'Geographic Names Information System (GNIS)']"
"Reevaluating And Realigning United States Foreign Aid – The White House
",Executive Order,2025-01-21T01:43:20+00:00,"The President wants to check if the money America gives to help other countries is being used in the right way. For three months, they're going to stop giving new money and look at all the programs to make sure they're helping America's friendships with other countries.",https://www.whitehouse.gov/presidential-actions/2025/01/reevaluating-and-realigning-united-states-foreign-aid/,"['foreign aid', 'development assistance', 'foreign policy', 'program review', 'funding pause', 'State Department', 'OMB', 'international relations', 'government spending', 'executive oversight']","['Constitution of the United States', 'Office of Management and Budget (OMB) authority', 'General executive department authorities']"
"Unleashing American Energy – The White House
",Executive Order,2025-01-21T01:34:55+00:00,"This order changes how America handles energy and the environment. It makes it easier to produce oil, gas, and coal, while removing rules that were meant to fight climate change. It's like changing the rules of a game to focus more on making energy cheaper and less on protecting the environment.",https://www.whitehouse.gov/presidential-actions/2025/01/unleashing-american-energy/,"['energy policy', 'environmental regulation', 'fossil fuels', 'permitting reform', 'climate change', 'natural resources', 'infrastructure', 'mining', 'LNG exports', 'regulatory reform', 'NEPA', 'social cost of carbon', 'electric vehicles']","['National Environmental Policy Act (NEPA), 42 U.S.C. 4321', 'Clean Air Act Section 202(a)', 'Deepwater Port Act of 1974, 33 U.S.C. 1501', 'Executive Order 13990', 'Executive Order 13992', 'Executive Order 14008', 'Inflation Reduction Act of 2022 (Public Law 117-169)', 'Infrastructure Investment and Jobs Act (Public Law 117-58)', 'Fiscal Responsibility Act of 2023 (Public Law 118-5)', 'OMB Circular A-4 (September 17, 2003)']"
"Declaring a National Energy Emergency – The White House
",Executive Order,2025-01-21T01:42:17+00:00,"The President is saying there's an emergency because we don't have enough energy in America, and this makes it hard to keep our country safe and strong. This order tells government workers to quickly build and fix things that help us make and move energy around our country.",https://www.whitehouse.gov/presidential-actions/2025/01/declaring-a-national-energy-emergency/,"['Energy Security', 'National Emergency', 'Infrastructure', 'Environmental Permits', 'National Defense', 'Clean Water Act', 'Endangered Species Act', 'Domestic Energy Production', 'Energy Infrastructure', 'Federal Powers']","['National Emergencies Act (50 U.S.C. 1601)', 'Defense Production Act (Public Law 81-774, 50 U.S.C. 4501)', 'Clean Water Act Section 404 (33 U.S.C. 1344)', 'Rivers and Harbors Act (33 U.S.C. 403)', 'Marine Protection Research and Sanctuaries Act (33 U.S.C. 1413)', 'Endangered Species Act (16 U.S.C. 1531)', '10 U.S.C. 2808', '30 U.S.C. 1606(a)(3)']"
"America First Trade Policy – The White House
",Presidential Memorandum,2025-01-21T01:31:29+00:00,"The President wants to make sure other countries trade fairly with America and don't take advantage of us. This is like making sure when you trade baseball cards with friends, both sides get a fair deal and no one cheats.",https://www.whitehouse.gov/presidential-actions/2025/01/america-first-trade-policy/,"['trade policy', 'national security', 'economic security', 'tariffs', 'China relations', 'USMCA', 'currency manipulation', 'trade deficits', 'manufacturing', 'export controls', 'intellectual property', 'industrial base']","['15 USC 71-75', '19 USC 1337, 1338, 2252, 2253, 2411', '19 USC 4611(b)', '19 USC 4421', '22 USC 5305', '26 USC 891', '50 USC 1701', 'Executive Order 13788', 'Executive Order 14105', '89 Fed. Reg. 90398']"
"Initial Rescissions Of Harmful Executive Orders And Actions – The White House
",Executive Order,2025-01-20T23:53:21+00:00,"The new President signed a paper that cancels lots of rules the last President made about things like climate change, immigration, and treating different groups of people fairly. It's like erasing everything from the previous administration's whiteboard to start fresh with new rules.",https://www.whitehouse.gov/presidential-actions/2025/01/initial-rescissions-of-harmful-executive-orders-and-actions/,"['Executive Orders', 'Rescission', 'DEI', 'Climate Policy', 'Immigration', 'COVID-19', 'Healthcare', 'Education', 'Administrative Review', 'Federal Government', 'Policy Reform']","['Executive Orders 13985-14143', 'National Security Presidential Memorandum 5', 'Constitution of the United States', 'Infrastructure Investment and Jobs Act', 'Inflation Reduction Act of 2022']"
"Ending The Weaponization Of The Federal Government – The White House
",Executive Order,2025-01-20T23:53:59+00:00,The President signed an order telling government agencies to look back at the last 4 years and check if anyone used their power unfairly to hurt people they disagreed with politically. It's like having a referee check if someone broke the rules in a game that already happened.,https://www.whitehouse.gov/presidential-actions/2025/01/ending-the-weaponization-of-the-federal-government/,"['federal enforcement', 'weaponization', 'political persecution', 'Justice Department', 'Intelligence Community', 'accountability', 'document retention', 'executive oversight', 'civil rights', 'law enforcement']","['3 USC 301', '50 USC 3003']"
"Restoring Freedom Of Speech And Ending Federal Censorship – The White House
",Executive Order,2025-01-20T23:53:42+00:00,"This is a rule that says the government can't tell people what they can or can't say on the internet, and they're going to look into times when the government might have done that before.",https://www.whitehouse.gov/presidential-actions/2025/01/restoring-freedom-of-speech-and-ending-federal-censorship/,"['First Amendment', 'Free Speech', 'Censorship', 'Social Media', 'Government Oversight', 'Online Platforms', 'Constitutional Rights', 'Misinformation', 'Federal Investigation', 'Executive Authority']","['First Amendment to the United States Constitution', 'Section 301 of title 3, United States Code']"
